Time,iGlob,tOut,vpOut,co2Out,wind,tSky,tSoOut,dayRadSum,isDay,isDaySmooth,hElevation
Time since start of data,Outdoor global solar radiation,Outdoor temperature,Outdoor vapor pressure,Outdoor CO2 concentration,Outdoor wind speed,Apparent sky temperature,Soil temperature at 2 m depth,Daily sum of outdoor global solar radiation,Switch determining if it is day or night. Used for control purposes,Smooth switch determining if it is day or night. Used for control purposes,Elevation at location
s,W m**-2,°C,Pa,mg m**-3,m s**-1,°C,°C,MJ m**-2,-,-,m above sea level
396000,327.0,13.0,313.3912441849258,787.2515075443316,0.0,-15.719608694418355,2.2435250840081222,9.6372,1.0,1.0,1612.0
399600,185.0,9.8,447.03162245236496,796.1548644064691,1.5,-13.676350099713034,2.2414438045035823,9.6372,1.0,1.0,1612.0
403200,69.0,8.7,460.0858592169293,799.2620858038335,1.5,-9.008128500723217,2.2393663128318266,9.6372,1.0,1.0,1612.0
406800,10.0,8.0,363.889270628511,801.2520678776825,2.1,-7.819875967085466,2.2372926100618873,9.6372,1.0,1.0,1612.0
410400,0.0,8.0,363.889270628511,801.2520678776825,0.0,-7.114517177073878,2.2352226972608413,9.6372,0.0,0.0,1612.0
414000,0.0,8.0,363.889270628511,801.2520678776825,1.5,-6.414724680562358,2.23315657549382,9.6372,0.0,0.0,1612.0
417600,0.0,4.8,369.35209892351025,810.4767723828403,1.5,-4.575062054595946,2.2310942458240035,9.6372,0.0,0.0,1612.0
421200,0.0,4.7,366.7879764326431,810.7684681799909,0.0,-4.347744933698607,2.2290357093126225,9.6372,0.0,0.0,1612.0
424800,0.0,4.0,438.62371254257584,812.8162326675464,0.0,-3.6692315304515546,2.2269809670189487,9.6372,0.0,0.0,1612.0
428400,0.0,3.4,389.3655945298494,814.5797103012493,0.0,-5.031435730263695,2.2249300200003077,9.6372,0.0,0.0,1612.0
432000,0.0,2.9,405.93150455211753,816.0551308958901,0.0,-4.802957837175882,2.2228828693120724,9.5076,0.0,0.0,1612.0
435600,0.0,2.1,411.93496174727005,818.4269532563504,0.0,-6.880639603694931,2.220839516007657,9.5076,0.0,0.0,1612.0
439200,0.0,1.7,365.8353881574385,819.6180421459359,0.0,-7.819875967085466,2.218799961138524,9.5076,0.0,0.0,1612.0
442800,0.0,2.0,401.95892724909567,818.7244008134126,2.1,-13.929125509223809,2.2167642057541883,9.5076,0.0,0.0,1612.0
446400,0.0,1.0,400.45717240816737,821.710811175672,0.0,-19.687365623982885,2.2147322509021974,9.5076,0.0,0.0,1612.0
450000,0.0,0.0,403.1148,824.719087987591,1.5,-21.052319029241545,2.2127040976281505,9.5076,0.0,0.0,1612.0
453600,0.0,0.0,366.46799999999996,824.719087987591,0.0,-21.32798667055198,2.210679746975691,9.5076,0.0,0.0,1612.0
457200,0.0,0.0,366.46799999999996,824.719087987591,1.5,-18.878862105720486,2.2086591999865046,9.5076,0.0,0.0,1612.0
460800,79.0,0.0,366.46799999999996,824.719087987591,0.0,-17.548250807647207,2.2066424577003154,9.5076,1.0,1.0,1612.0
464400,203.0,0.8,420.6222908015536,822.3107095594469,4.6,-20.230697010514575,2.204629521154895,9.5076,1.0,1.0,1612.0
468000,333.0,6.7,489.73032026730954,804.9741607425782,4.6,-16.759752756168382,2.2026203913860583,9.5076,1.0,1.0,1612.0
471600,439.0,11.0,405.6704016986511,792.7926056090462,6.7,-17.548250807647207,2.200615069427652,9.5076,1.0,1.0,1612.0
475200,468.0,9.4,458.74157286310486,797.2819638428969,8.2,-17.812712361092508,2.1986135563115736,9.5076,1.0,1.0,1612.0
478800,432.0,12.0,405.3699665008872,790.0123404657564,8.2,-15.719608694418355,2.1966158530677573,9.5076,1.0,1.0,1612.0
482400,353.0,12.0,489.23961474245004,790.0123404657564,10.8,-13.676350099713034,2.194621960724171,9.5076,1.0,1.0,1612.0
486000,227.0,8.8,451.9010206989399,798.9786092704752,5.7,-13.929125509223809,2.1926318803068288,9.5076,1.0,1.0,1612.0
489600,91.0,8.1,474.1196742060044,800.9671782535482,6.7,-13.173004087586833,2.1906456128397815,9.5076,1.0,1.0,1612.0
493200,16.0,6.1,469.94611743565434,806.7037381694198,4.6,-14.947694810664132,2.1886631593451202,9.5076,1.0,1.0,1612.0
496800,0.0,4.4,467.78173604454986,811.6448167314375,3.6,-16.759752756168382,2.1866845208429657,9.5076,0.0,0.0,1612.0
500400,0.0,3.3,487.155354147036,814.8743674581676,6.7,-16.498529547041073,2.184709698351482,9.5076,0.0,0.0,1612.0
504000,0.0,1.0,466.1058891963915,821.710811175672,7.7,-20.503681005645547,2.182738692886872,9.5076,0.0,0.0,1612.0
507600,0.0,5.0,479.04719914063975,809.8940100083065,7.2,-21.882053862746943,2.1807715054633645,9.5076,0.0,0.0,1612.0
511200,0.0,4.0,601.0769394101965,812.8162326675464,3.1,-22.72009092481335,2.178808137093232,9.5076,0.0,0.0,1612.0
514800,0.0,3.0,552.6531564517244,815.7596193511152,2.6,-25.286017468759184,2.1768485887867817,9.5076,0.0,0.0,1612.0
518400,0.0,3.0,529.9413828989137,815.7596193511152,4.1,-27.04195315036381,2.1748928615523484,9.1764,0.0,0.0,1612.0
522000,0.0,3.0,492.08842697756285,815.7596193511152,0.0,-27.635704271202002,2.1729409563963076,9.1764,0.0,0.0,1612.0
525600,0.0,5.0,557.4367408181989,809.8940100083065,8.8,-30.36238068385134,2.1709928743230646,9.1764,0.0,0.0,1612.0
529200,0.0,5.0,566.1466898934833,809.8940100083065,8.8,-31.29202488575632,2.169048616335062,9.1764,0.0,0.0,1612.0
532800,0.0,5.0,574.8566389687677,809.8940100083065,5.1,-31.917794618188196,2.1671081834327657,9.1764,0.0,0.0,1612.0
536400,0.0,4.0,519.8503259763862,812.8162326675464,5.1,-30.980952892303662,2.1651715766146795,9.1764,0.0,0.0,1612.0
